neighborhood,overall_qual,overall_cond,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,total_bsmt_sf,gr_liv_area,full_bath,half_bath,bedroom_abvgr,kitchen_qual,fireplaces,fireplace_qu,garage_finish,garage_area,garage_qual,mo_sold,saleprice,house_sold_age,exterior_2nd_present,paved_drive_present,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,land_contour_HLS,land_contour_Low,land_contour_Lvl,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,mas_vnr_type_BrkFace,mas_vnr_type_CBlock,mas_vnr_type_None,mas_vnr_type_Stone,foundation_CBlock,foundation_PConc,foundation_Slab,foundation_Stone,foundation_Wood,functional_Maj2,functional_Min1,functional_Min2,functional_Mod,functional_Sal,functional_Sev,functional_Typ,garage_type_Attchd,garage_type_Basment,garage_type_BuiltIn,garage_type_CarPort,garage_type_Detchd,garage_type_None,misc_feature_None,misc_feature_Othr,misc_feature_Shed,misc_feature_TenC
0,6,5,232.0,3,3,3,3,1,5,483.0,987,1,1,2,3,0,0,1,264.0,3,3,11.355101379776661,37,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,7,5,0.0,4,3,4,3,3,6,1208.0,1208,2,0,2,4,0,0,2,632.0,3,1,12.120514757168527,1,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,5,7,0.0,4,3,0,0,0,0,0.0,2016,1,0,4,3,1,3,1,576.0,3,2,11.782952602183288,2,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2,8,5,456.0,4,3,4,3,1,6,960.0,1607,2,1,3,4,0,0,1,480.0,3,2,12.206072645530174,8,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,7,5,0.0,4,3,4,3,3,6,1351.0,1361,2,0,3,4,0,0,2,610.0,3,2,12.170445467887022,1,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,5,5,0.0,3,3,5,3,3,1,1430.0,1430,2,0,3,4,0,0,2,624.0,3,1,12.063932878369052,5,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,5,5,0.0,3,3,3,3,1,1,624.0,1344,1,0,4,3,0,0,1,513.0,2,2,11.49272275765271,58,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,5,6,0.0,3,3,3,3,1,3,1121.0,1121,1,0,3,3,0,0,1,480.0,3,2,11.842229212112828,46,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,6,5,148.0,3,3,3,3,1,1,660.0,1285,1,1,3,3,1,3,2,528.0,3,0,11.874090314181814,30,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2,7,5,0.0,3,3,4,3,2,6,756.0,1547,2,1,3,4,0,0,1,614.0,3,2,12.279323107269766,1,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,5,5,0.0,3,3,4,3,1,4,894.0,894,1,0,3,3,1,1,3,450.0,3,2,11.76756768334381,39,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4,8,5,0.0,4,3,4,3,1,6,1501.0,1659,2,0,2,5,1,5,3,499.0,3,1,12.535376392672774,9,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4,8,5,99.84353405725568,4,3,5,3,3,1,1209.0,2253,2,1,3,5,1,4,3,575.0,3,3,12.748783489541202,0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,6,7,0.0,3,4,4,3,1,5,1168.0,1187,2,0,3,3,0,0,3,420.0,3,1,12.128111104060462,3,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
1,5,5,0.0,3,3,3,3,2,3,1056.0,1056,1,0,3,3,0,0,3,572.0,3,4,11.884489021402711,51,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,6,6,3.0,3,3,3,3,1,3,1453.0,1453,2,0,3,3,1,3,2,530.0,3,0,12.141534124392603,48,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,5,8,0.0,3,4,3,3,1,6,894.0,894,1,0,3,3,1,4,1,336.0,3,0,11.83862560460953,1,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,5,6,0.0,3,3,3,3,1,4,942.0,1938,2,0,4,4,1,4,1,240.0,3,3,12.196022309676673,13,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,5,6,0.0,3,4,3,3,1,1,957.0,1991,2,0,4,3,0,0,0,0.0,0,2,11.691908120498669,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
0,5,7,0.0,3,4,3,3,2,1,672.0,924,1,0,3,3,1,1,1,576.0,3,3,11.719126295554126,1,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,8,5,0.0,4,3,4,3,1,5,2524.0,2524,2,1,4,4,1,4,3,542.0,3,3,12.535376392672774,28,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2,8,7,0.0,3,3,4,3,1,1,792.0,1517,1,0,3,4,2,4,1,400.0,3,2,12.345834587905333,56,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3,8,5,0.0,4,4,4,4,3,2,1494.0,1494,1,1,2,5,1,4,3,481.0,3,0,12.506177237980511,10,0.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,6,6,0.0,3,3,3,3,1,5,948.0,948,1,0,2,3,0,0,1,410.0,3,0,11.736069016284437,55,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,8,5,336.0,4,3,5,3,4,6,1705.0,1718,2,0,3,4,1,4,2,826.0,3,3,12.601487417784837,1,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,6,6,82.0,3,3,4,3,4,1,160.0,1142,1,0,2,3,1,4,2,384.0,3,0,11.639558115903595,51,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,5,6,0.0,3,3,3,3,1,5,757.0,1475,2,0,4,3,1,3,2,336.0,3,3,11.751942365440728,29,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,6,6,480.0,3,3,4,3,1,4,1844.0,1844,2,0,3,3,1,3,2,546.0,3,4,12.154779351142624,33,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,7,6,320.0,3,3,3,3,1,5,1242.0,1242,1,1,3,3,1,3,1,528.0,3,3,12.075394321888057,34,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2,5,7,0.0,3,4,4,4,1,6,990.0,990,1,0,3,3,0,0,1,384.0,3,3,11.891361900690473,13,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,5,6,0.0,4,3,3,3,1,4,1256.0,1256,1,1,3,3,0,0,3,276.0,3,2,11.901583454762012,43,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4,10,5,99.84353405725568,5,3,5,4,4,6,2076.0,2076,2,1,2,5,1,4,3,850.0,3,3,13.049792684569493,0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,5,6,104.0,3,4,4,3,3,6,1097.0,1110,1,0,1,4,1,3,3,602.0,3,3,12.016726473799254,31,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,5,5,335.0,3,3,3,3,1,1,1050.0,1795,2,0,4,3,0,0,1,352.0,2,2,11.786762130599957,54,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,5,5,0.0,3,3,3,3,1,3,1040.0,1040,1,0,3,3,0,0,1,384.0,3,1,11.771436160121729,43,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,8,6,40.0,3,3,3,2,1,2,608.0,1873,1,1,4,3,2,4,3,786.0,2,2,12.45712704000522,58,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,5,5,0.0,3,3,3,3,1,2,984.0,1604,2,0,3,3,0,0,1,660.0,3,3,11.669929213779893,49,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,7,6,0.0,3,2,4,3,1,1,776.0,1502,1,1,3,3,1,4,2,270.0,3,1,11.911701584927597,8,1.0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,5,5,110.0,3,3,3,3,1,3,1056.0,1063,1,0,3,3,0,0,2,280.0,3,1,11.759785542901755,56,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4,7,5,106.0,4,3,4,3,1,1,764.0,1626,2,1,2,4,0,0,2,474.0,3,1,11.951180395901384,4,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2,6,5,513.0,4,3,4,3,1,6,756.0,1524,2,1,2,4,0,0,1,440.0,3,2,12.01974306733868,6,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,4,3,0.0,3,3,3,3,1,4,1122.0,1981,2,0,4,4,2,3,1,576.0,3,2,11.813030057420567,59,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,7,5,184.0,3,3,4,3,1,4,1392.0,2784,3,1,5,4,2,3,2,564.0,3,3,12.429216196844383,28,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,4,7,0.0,3,3,3,3,1,6,546.0,1092,1,1,3,3,0,0,0,0.0,0,1,11.238488619268468,40,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
0,6,6,522.0,3,3,3,3,1,1,216.0,1575,1,1,2,4,1,4,1,400.0,3,2,11.951180395901384,55,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,6,7,143.0,3,3,3,3,1,5,663.0,1352,1,1,4,3,0,0,3,299.0,3,1,11.970350312009105,41,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2,7,5,0.0,4,3,4,3,1,6,600.0,1200,2,1,2,4,0,0,2,480.0,3,1,11.915051671812877,5,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,5,6,0.0,3,4,3,3,1,4,936.0,936,1,0,2,3,0,0,1,240.0,3,1,11.703545824578878,31,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,6,7,0.0,3,3,3,3,1,3,1040.0,1040,1,0,3,3,0,0,3,293.0,3,2,11.820410164718188,54,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1,6,5,0.0,3,3,4,3,1,3,916.0,1636,2,1,3,3,1,3,3,386.0,3,2,12.061046873479915,12,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4,8,7,348.0,4,3,4,3,1,6,1152.0,2270,2,1,4,4,1,4,3,671.0,3,0,12.577636201962656,3,0.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2,8,5,0.0,4,3,4,3,3,6,1184.0,2610,2,1,4,5,1,4,3,550.0,3,3,12.623061104072981,0,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2,7,7,0.0,4,4,4,3,4,5,1420.0,1483,1,1,1,3,2,3,2,690.0,3,0,12.506177237980511,9,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0,5,5,0.0,2,2,3,3,1,3,936.0,1740,1,0,2,5,1,4,1,225.0,2,2,11.713823407337118,58,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
